Date,AXISBANK.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,NESTLEIND.NS,TCS.NS,WIPRO.NS
01-01-2018,563.7999878,487.5527039,2375,608,936.3499756,314,518.8499756,7900,1341.150024,233.625061
02-01-2018,567,489.2972412,2369.125,614.2000122,929.2750244,310.9500122,518.625,7855,1330,236.887558
03-01-2018,561.2999878,476.6723022,2329.5,611,937.5,312.5,514.25,7900,1316,240.3000641
04-01-2018,564.8499756,476.5345764,2329.5,609.4500122,926.5,314.9500122,510.5,7865,1325,232.575058
05-01-2018,561.0499878,482.0436401,2331,617,931.5,314.4500122,507.6499939,7846.299805,1325,234.750061
08-01-2018,565.7999878,490.4449768,2330,618.5,932.5,313.5,512.4500122,7830,1350,232.500061
09-01-2018,564,475.616394,2350,617,931,314.7999878,520,7941.149902,1357.5,234.450058
10-01-2018,566.1500244,472.8618469,2328.425049,616,932.5999756,312.5499878,523.4000244,7850,1355.5,237.3000641
11-01-2018,562,466.4346008,2335,619,932.0999756,312.5,527.625,7854.799805,1405,242.6625671
12-01-2018,560.2000122,473.7800293,2367.5,614,936.5,309.6000061,542.9000244,7878,1402.5,240.750061
15-01-2018,556.7000122,468.0873413,2354.149902,612.5,934.9749756,320.7999878,540,7815,1388.574951,239.137558
16-01-2018,562.9500122,466.4346008,2362,610.1500244,951.7249756,329.75,540.625,7760,1378,237.6750641
17-01-2018,564.0499878,454.498291,2340,601.0499878,948.5,334.0499878,562.4249878,7799.700195,1435,249.750061
18-01-2018,596,460.0073547,2379.850098,608.0999756,962,350,572.5,7830,1448.5,245.250061
19-01-2018,584.9000244,444.3983459,2332.5,603.6500244,967.5750122,347.4500122,572.5,7800,1465.275024,245.250061
22-01-2018,595.9500122,455.0491943,2337.5,604.4000244,980,352.3999939,566.0750122,7667.549805,1480.5,237.750061
23-01-2018,616.4000244,453.5801086,2342.5,602.5,982.5,350.4500122,577.5,7699,1557.474976,241.575058
24-01-2018,621.9000244,447.0610352,2368.199951,621.9500122,976.2750244,357.75,587.4000244,7630,1545,237.375061
25-01-2018,610,425.5756836,2359.600098,618.1500244,976.9500122,352.5,591,7553,1587.5,236.7750549
29-01-2018,614.5499878,407.6712036,2320,624.9500122,989,360,583.2750244,7530,1565.699951,235.575058
