Date,ACC.NS,BANKBARODA.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,INDIGO.NS,INDUSTOWER.NS,NAUKRI.NS
01-01-2018,1763.949951,161,259.4500122,1188.300049,125.7000275,671.9666748,566.7000122,1205.949951,379.8999939,1394.699951
02-01-2018,1736.199951,161.8999939,258.4500122,1173.699951,126.0000305,660,555,1209,371,1390
03-01-2018,1741.099976,158.6499939,254,1162.699951,124.2000275,652.0666504,551,1196.050049,379.7000122,1350
04-01-2018,1779.949951,158.5,258.25,1187.849976,123.5000305,660,558,1209.949951,381.7999878,1398
05-01-2018,1801.099976,165.1499939,258.3500061,1210.099976,124.7500305,659.9666748,565,1204,381.4500122,1386
08-01-2018,1816,162.1000061,260.7999878,1250,125.0000305,665.2999878,566.5,1198.949951,372.6000061,1414.5
09-01-2018,1823,161.75,260.8999939,1232.949951,124.3625336,664.666687,561.5,1225,370.1499939,1394.800049
10-01-2018,1812.050049,164.25,270.6000061,1245.050049,125.4875336,658.666687,551.75,1240.550049,368.5,1371
11-01-2018,1825,162.5,269,1254,124.4250336,656.4666748,549,1237,371,1420
12-01-2018,1805,163.75,270.75,1250.099976,124.6250305,659.9333496,549.5,1231,364.0499878,1393.949951
15-01-2018,1809.900024,163.5,268.5499878,1236.900024,125.337532,660.8666382,548,1240,374.5,1419.699951
16-01-2018,1835,164.6000061,268.25,1232.800049,122.8250275,671.0999756,562,1224.300049,373.4500122,1365
17-01-2018,1850,156.9499969,258.7000122,1183,120.5000305,670.4333496,555.5,1180,365,1405
18-01-2018,1840.5,169,263.3999939,1175,117.525032,668.5333252,562.75,1204.75,365,1402.400024
19-01-2018,1828.25,162,249,1138.800049,117.1250305,691.2000122,548,1190.900024,346,1384.949951
22-01-2018,1816.5,166,250.5,1149,117.5125275,696.666687,548.5999756,1210.599976,344.5,1410
23-01-2018,1825,164.9499969,250.6000061,1182,115.2000275,733.333313,565,1200.900024,344.3999939,1406
24-01-2018,1787.800049,173.1499939,259,1170,117.775032,723.333313,584.9000244,1201,339,1387.349976
25-01-2018,1739.900024,178.8000031,256.9500122,1150,121.525032,750,575,1279,342.1000061,1398.550049
29-01-2018,1735.150024,168.3000031,255.1000061,1200,123.1125336,713.333313,582,1235,343,1390.75
30-01-2018,1728,162,251.5,1180.699951,119.7500305,708,575.3499756,1201,352.2000122,1398
31-01-2018,1728.099976,159.1999969,253.0500031,1180,119.4875259,714.6333618,540,1213,345,1370
01-02-2018,1723,158.0500031,251.6999969,1185,119.5000305,706.666687,525.7999878,1220,352,1351
02-02-2018,1725.900024,150.1999969,240,1162.800049,120.5000305,699.9333496,519,1210,342,1362
05-02-2018,1667,150.6000061,218.3999939,1122.050049,115.0000305,694.5333252,509.8999939,1159.300049,336,1310
06-02-2018,1595,150,212.0500031,1075,112.0000305,673.333313,474.9500122,1155,339.3999939,1240
07-02-2018,1627,156,229,1127.800049,114.1500244,679.9333496,511,1214.449951,348.0499878,1212
08-02-2018,1589.849976,154,225.8999939,1129,116.2000275,681.7000122,510.5499878,1225,341,1198
09-02-2018,1652,153.25,222,1149.949951,114.3000259,666.666687,503.1000061,1242,342.8999939,1230
12-02-2018,1678,159,231.8999939,1189,117.0000305,680,519.2000122,1238.150024,345.3999939,1280.050049
14-02-2018,1652,167,239.6999969,1196.599976,118.4500275,689.2000122,516.5,1242,339.5499878,1259
15-02-2018,1626.550049,163.8999939,233,1206.949951,117.6250305,689.3666382,515.0999756,1280,329.1000061,1249.900024
16-02-2018,1634,159.3999939,232.6499939,1188.800049,119.5750275,682,519.7999878,1261.5,334.3999939,1249.849976
19-02-2018,1655.849976,150,224.8999939,1179,117.5000305,689.7333374,508.9500122,1278,330.8500061,1220
20-02-2018,1644,140.5,223.6499939,1174.800049,115.9500275,697.333313,508.8500061,1294,332,1207.949951
21-02-2018,1656.550049,146.75,226.5,1191.800049,116.7500305,706.5999756,510.8500061,1274,334.8999939,1212.25
22-02-2018,1635,144.0500031,219.3500061,1244.699951,116.3750305,704.7999878,505,1260,335,1183.949951
23-02-2018,1630,145.6999969,220.1999969,1250,116.350029,700,497,1275.050049,332.1000061,1159.800049
26-02-2018,1659.800049,148,227.3000031,1312,115.0000305,701.333313,509,1298,344.75,1205
27-02-2018,1655,143.3999939,228.8999939,1291.199951,116.100029,714.4000244,514.5,1346.949951,346.8999939,1241
28-02-2018,1618,139,220.8000031,1354,113.9500275,725.3666382,506.6000061,1323,340,1256
01-03-2018,1624.900024,141.8000031,225.5500031,1353.099976,114.5000305,713.6333618,507.6499939,1339,348,1274
05-03-2018,1626.400024,137,221.3000031,1309.5,113.0000305,719.7999878,511,1340,342.5,1287
06-03-2018,1614.699951,140.8999939,224.3999939,1320,111.1125259,725.333313,511.7999878,1316,339.7999878,1258
