Date,ADANIPORTS.BO,BAJFINANCE.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TCS.BO,TECHM.BO
01-01-2018,405.9500122,1776.800049,936.5,312,263.2999878,922,310,432.2000122,1344.900024,500
02-01-2018,408,1725,928.5499878,310.2000122,264.2000122,915,308.1000061,429.7000122,1321.474976,503
03-01-2018,404,1724,937,310,261,924.4500122,304.8999939,439.5,1317,515
04-01-2018,409.7999878,1719.75,929,315,262,919,304,430,1330,520
05-01-2018,410,1756.949951,929.5,313.25,261,920.5,311,432,1325.5,520
08-01-2018,425,1825,932.5,313,263.0499878,924.0999756,306.6000061,433.7000122,1347.5,519
09-01-2018,424,1840,936,315,265.5,929.0499878,307,434.75,1355,530
10-01-2018,421.5,1819.75,932.5,312.5,273,945,304.1000061,438.8500061,1356,534.0499878
11-01-2018,424,1793.099976,930,312,269.8999939,941.75,301.5,432.5499878,1403.599976,542
12-01-2018,426,1764,933.2750244,309.4500122,270,942,304.25,438.2999878,1406.5,554
15-01-2018,426,1800,932.5,319.2999878,267.6000061,950.2000122,303.2000122,438.7000122,1395,550
16-01-2018,421.6499939,1742.300049,948.625,329.5,267.5,949,302,432,1374.099976,548.0999756
17-01-2018,424.8500061,1691,950,330,261.7999878,925,295.2000122,422.8500061,1428.550049,557.2999878
18-01-2018,436.8999939,1705,960,350,267.7999878,930,314.1499939,422.3500061,1447.5,555.1500244
19-01-2018,417.9500122,1660.599976,967.5,346.6000061,276.2000122,922,302.75,419.75,1460,555
22-01-2018,435,1739,980,353,275,948.5,309.3999939,419,1478,550
23-01-2018,438.7000122,1710,980,352.25,273.3500061,975,306.25,422.1000061,1557.5,568
24-01-2018,437.4500122,1695,982.2000122,359.1000061,277,981.9000244,317.7999878,417.75,1550,586.1500244
25-01-2018,449,1742,980,353.8500061,281.5,970,333,402.25,1590,600
29-01-2018,440,1710.400024,987.5,360,281,966,313.7999878,401.1499939,1559.025024,596.5
30-01-2018,440,1720,1000,355.5,275.6499939,964,311.0499878,399.1000061,1559.5,603
31-01-2018,426.1000061,1674,995,349.3999939,273.5,950,313,396.2000122,1565.5,602.25
01-02-2018,427.1000061,1677,1003.5,349.7000122,272,964.4000244,316.0499878,401,1560,612
02-02-2018,427.6000061,1718,992.5,340,275.75,938.7000122,302,391,1557.5,608
05-02-2018,409,1608,965,329.8999939,272.3999939,895.7999878,292.7000122,381.6499939,1555.5,614.7999878
06-02-2018,402,1553,936.8499756,318.8500061,271.75,880,286,368,1515,608
07-02-2018,412.2000122,1680,952.5,335,276.3500061,900.5499878,295.6000061,388,1507.5,615
08-02-2018,412,1655.699951,940,332.25,276,896.3499756,293,381,1485.5,610
09-02-2018,401,1638,927.5,324,271,891.9500122,297.9500122,370,1480,600.0499878
12-02-2018,404,1629,930,333.8999939,271.3999939,901.0999756,288,372,1504,595
14-02-2018,400,1645,940.625,327.3500061,271,921.6500244,289,373.8999939,1482.5,590
15-02-2018,421,1680,940.6500244,321.1000061,267,936.0499878,275,379,1464.5,615
16-02-2018,417,1687.099976,942,331,270,937.3499756,280.0499878,377.25,1462.5,607
19-02-2018,405,1657.550049,940.625,325,266.3999939,920.2999878,271.2000122,371.9500122,1470,587.0499878
20-02-2018,393.5,1630,943.5,320.9500122,264.1499939,928,268.2000122,370,1465,576.7999878
21-02-2018,396,1642,932.5,315,263.2999878,927,272,370.2999878,1480.5,575
22-02-2018,394.8999939,1598.599976,926.7999878,318.8999939,268.8500061,923.1500244,271.6000061,364,1522.5,594.7999878
23-02-2018,406.8500061,1605,928,319.5,267.2000122,924.2000122,273.0499878,357.5499878,1521,607.7999878
26-02-2018,409,1635,944,323.1000061,269,936.0999756,280,362,1539.050049,623
27-02-2018,415.5499878,1683.900024,956.0250244,329,269,939,273.9500122,375,1524.974976,613.0999756
28-02-2018,412,1656,946.9000244,315,265,944.5,264.7999878,369,1520,610.6500244
01-03-2018,408.5499878,1635,937.5,313,264.5499878,950.8499756,266.7999878,367.8999939,1520.5,609.0499878
05-03-2018,405.5,1670,937.5,304.7999878,263.5,944.5,260.7999878,370.8500061,1534.5,611
06-03-2018,404.3999939,1645,937.5,308.3999939,262.6499939,929.7000122,266,356.9500122,1566.5,633.9000244
07-03-2018,400.7000122,1637.550049,922.5,292,256,908.5999756,255.9499969,345,1527.5,623
08-03-2018,377,1634.650024,929.9749756,288,260,899.7000122,247,350.5499878,1530,620
09-03-2018,391.7999878,1628.150024,927.5,300.9500122,259.7000122,915,257.0499878,345,1507,610
12-03-2018,386,1664,927.7000122,294.2999878,263,918.9000244,254,344.5499878,1517.5,620.5
13-03-2018,390,1665,929.6500244,300.7000122,270,929.3499756,251.8500061,351.9500122,1464,620
14-03-2018,384,1665,925.0750122,301.0499878,267.5499878,926.5499878,252.0500031,352.8500061,1448,620
15-03-2018,384,1718.699951,932.5,306.8999939,267.8500061,928.7000122,257.8999939,355,1445.574951,640
16-03-2018,381.5,1710,949.4249878,302.7999878,264.25,910,253,352.8999939,1434.375,635.9500122
19-03-2018,370.8999939,1695,929.9500122,298.1000061,260.6499939,903.7999878,253,341.8999939,1420.349976,632.3499756
20-03-2018,367,1631,920,292.5499878,258.7999878,899.0999756,247,335.75,1413.724976,605
21-03-2018,373.7000122,1656,927.5,294.5499878,259.5,895.7999878,251,340,1430.125,633
22-03-2018,368,1705,931.4000244,289.6000061,259.7999878,896.5,246.8999939,339.7999878,1428,625.3499756
23-03-2018,358,1668.150024,927.5,277,256.4500122,893.4000244,238.6000061,331,1403.349976,611
26-03-2018,365,1692,920.5,275.5499878,251.3000031,892.8499756,235,330,1408.349976,625
27-03-2018,367.1000061,1750,945,283,258,905.0499878,250.6999969,333.8999939,1410.050049,625
28-03-2018,365.2999878,1772,944.9249878,283,257.7000122,895.0499878,252.3999939,331.25,1419.5,620
02-04-2018,354.2000122,1769.75,946,272,258.5,890.5,251,335,1422.5,635.6500244
03-04-2018,370.5,1825,962.5,260.5,258.5,890,249.8000031,339.3500061,1450,637.9500122
04-04-2018,372,1839,958.75,267.7999878,259.0499878,905.5,251,349.8500061,1461.5,618.5499878
05-04-2018,371.1000061,1862,954.9749756,268.8999939,257,902.5499878,251.1999969,364.7999878,1457.775024,613
06-04-2018,379.7000122,1917,955.5,278.1499939,260.1000061,909.9000244,260,363.5,1470.5,615
09-04-2018,379.2999878,1950,961.25,278.5499878,262,912.9500122,261.2000122,363.8999939,1475,617
10-04-2018,378,1941,975,280,266,918,260.6499939,360.9500122,1469.5,618
11-04-2018,387.6000061,1935,961,289.7999878,266.5,920.0999756,263.25,354.1000061,1475,629
12-04-2018,378.8999939,1925,962.4500122,284.2000122,264.1000061,930,257,359.2999878,1507.75,631.9500122
13-04-2018,374,1949,963.5,287.5,262.2000122,931.1500244,254.0500031,359,1574.5,654.5
16-04-2018,383.7000122,1901.099976,961.9500122,285.7000122,261.4500122,935,249,351.5,1566,658
17-04-2018,390.8999939,1951,970,288,265,938.25,251.5,341.3999939,1595,670
18-04-2018,387.7000122,1950,974.5,293,268.8500061,945,249,338,1586.474976,674
19-04-2018,385.9500122,1932.900024,969,290.2000122,277.7999878,938.2000122,247.8999939,336,1587.5,663.8499756
20-04-2018,386.4500122,1908.150024,971,288.8999939,276.7000122,939,245.5,336,1625.099976,666
23-04-2018,385.75,1894,992,280,276.25,927.2999878,242.5,337,1714.5,693
24-04-2018,388.9500122,1904.550049,969.3499756,279,276.5,937.7000122,242,334,1706.474976,698
25-04-2018,391.1499939,1925.449951,967.5,282.7999878,275.1000061,972.5499878,240.5,330.5499878,1692.5,688
26-04-2018,391,1899,960,280,274.2000122,972,238.1000061,328.25,1735.5,684
27-04-2018,399,1901.550049,963,276.1499939,280,988.25,232,332.1499939,1770,695
30-04-2018,406.8999939,1920.599976,964.5,289,280,984.7000122,245,338.9500122,1727.5,680
02-05-2018,407.1000061,1910,974.1749878,284.6499939,281.5,968.7999878,246.3999939,349.75,1766.5,672.0999756
03-05-2018,399.8999939,1900,982.5,278,289,977,240.0500031,335,1751,658
04-05-2018,404,1899,983.5,280.5,286.5,963.9500122,243,335.7000122,1741,652
07-05-2018,409.8999939,1861.599976,992.25,284.3500061,278,958,242,337.5,1741.125,670
08-05-2018,414,1890,989.5,302.5,283,973.5499878,247.5,339.2000122,1716,651
09-05-2018,413,1852.550049,982.5,306.7999878,282,967.6500244,249.9499969,332.1000061,1724.5,655
10-05-2018,415,1839,995,309.2000122,281.6000061,977.0999756,247.3000031,343.1000061,1745.5,656
11-05-2018,413.5,1835,995,307,281,982.7999878,247.1499939,335.3999939,1727.5,665
14-05-2018,415.7000122,1860,1008.5,310.3999939,282.0499878,993.9000244,250,332.5,1732,669
15-05-2018,404.1000061,1861,1010.674988,309.7000122,284.4500122,980,253.8000031,323.9500122,1727,664.7000122
16-05-2018,408.7999878,1882.050049,1017.5,305,281.7999878,976.2999878,245.75,310.7000122,1740,670
17-05-2018,405,1930,1013.924988,298.25,288,959.9000244,245,312,1757.925049,678
18-05-2018,397,2078.800049,1014,295.8999939,279.6000061,946,242.8999939,315,1744.925049,678
21-05-2018,397.7999878,2144.199951,1002.375,287.5,284,932,242.6999969,304.2000122,1760,690.75
22-05-2018,383.7999878,2105.800049,999.5,288.5499878,281.5,933,244.3000031,296,1779,685.4500122
23-05-2018,380.7000122,2157,992.5,289.3999939,279,927,254.1999969,310.5,1764,685.2999878
24-05-2018,379.7999878,2081,983.5,293,274.1000061,916.7000122,264.7000122,301.5,1750,706
25-05-2018,371.5,2106,998.9500122,297.5,273.3999939,918.0499878,268.2000122,288.6499939,1809.5,711.5499878
28-05-2018,382.9500122,2134,1007.5,294.1499939,274.3999939,923.5499878,267.5,294.8999939,1800.550049,722
29-05-2018,380,2130,1021.150024,299,274.8999939,920.0499878,270.1000061,296.2999878,1756,678
30-05-2018,377.2999878,2060.25,1015,287,272.5,914,261.6000061,290.8999939,1760,674.7999878
31-05-2018,372.6000061,2140,1050.025024,284.1000061,271.7999878,919.3499756,267.3999939,290.7999878,1742.300049,686.9500122
01-06-2018,389,2132,1062,291.0499878,271.6499939,921.2999878,269.5,286.6499939,1758,711.9500122
04-06-2018,387.6000061,2104.600098,1077.099976,293.75,270,934.7999878,268.8500061,291.6000061,1751.699951,702
05-06-2018,383,2065.800049,1025,287.5,270,941.25,262,286,1745,704
06-06-2018,375,2119,1029.5,284.7999878,268,948.9000244,263,286.0499878,1724.699951,703.0999756
07-06-2018,376,2173,1032.5,287.3999939,270.2000122,955,271.3999939,297,1725.400024,693
08-06-2018,379.3999939,2170.800049,1025.275024,292,271.1000061,968.9000244,269.0499878,306.7999878,1736,704.0999756
11-06-2018,382.6000061,2205,1026,285,267.8500061,984.3499756,273.7000122,311.7999878,1747,713.5
12-06-2018,385.7999878,2256,1024,287.1499939,269.25,982.2000122,273.6499939,310,1756,716.0499878
