Date,^BSESN,ADANIPORTS.BO,RELIANCE.BO,BAJFINANCE.BO,HDFCBANK.BO,TATAMOTORS.BO,TCS.BO,ITC.BO,ICICIBANK.BO,SBIN.BO,TECHM.BO,FEDERALBNK.BO,DLF.BO,BHARATFORG.BO,VOLTAS.BO,GAIL.BO,ACC.BO,NAUKRI.BO,TATAPOWER.BO,BANKBARODA.BO,AMBUJACEM.BO
01-01-2018,34059.98828,405.9500122,922,1776.800049,936.5,432.2000122,1344.900024,263.2999878,312,310,500,108.1999969,260,730,656.4000244,187.5937958,1760.5,1396.650024,94.05000305,160.3000031,272.5499878
02-01-2018,33913.55078,408,915,1725,928.5499878,429.7000122,1321.474976,264.2000122,310.2000122,308.1000061,503,108.5,258,725.5,650,187.6875458,1741.050049,1380,98.09999847,162,271
03-01-2018,33929.60938,404,924.4500122,1724,937,439.5,1317,261,310,304.8999939,515,107,254.1000061,728,645.0999756,186.1687927,1743.400024,1320.650024,100.5,157.1999969,267.8500061
04-01-2018,33912.48828,409.7999878,919,1719.75,929,430,1330,262,315,304,520,108,259.9500122,735,643.2999878,185.6250458,1772.949951,1368,101,158.5500031,273.4500122
05-01-2018,34021.26953,410,920.5,1756.949951,929.5,432,1325.5,261,313.25,311,520,108.3000031,258.2000122,742.3499756,648.4000244,187.5000458,1796.949951,1370,100,165.0500031,275.5
08-01-2018,34216.32813,425,924.0999756,1825,932.5,433.7000122,1347.5,263.0499878,313,306.6000061,519,112.5,260,743,664,187.5000458,1814.349976,1405,100.4499969,161.6499939,272
09-01-2018,34431.60938,424,929.0499878,1840,936,434.75,1355,265.5,315,307,530,116,260,736,640,185.2500458,1824.800049,1384.400024,100.0500031,162,274.1000061
10-01-2018,34538.78125,421.5,945,1819.75,932.5,438.8500061,1356,273,312.5,304.1000061,534.0499878,115.1999969,270.5,733,648,189.1500397,1815,1378,99,164.1999969,277.0499878
11-01-2018,34471.48047,424,941.75,1793.099976,930,432.5499878,1403.599976,269.8999939,312,301.5,542,113.75,271,719,634.1500244,186.0750427,1837,1402.900024,99,162,279
12-01-2018,34578.98828,426,942,1764,933.2750244,438.2999878,1406.5,270,309.4500122,304.25,554,115,271.8500061,731.0999756,630,185.6250458,1802,1398.849976,100.25,163,272
15-01-2018,34687.21094,426,950.2000122,1800,932.5,438.7000122,1395,267.6000061,319.2999878,303.2000122,550,116.75,268.2000122,730,634.0999756,188.2500458,1806.400024,1405.550049,99.09999847,163.5,269.6499939
16-01-2018,34877.71094,421.6499939,949,1742.300049,948.625,432,1374.099976,267.5,329.5,302,548.0999756,112.4000015,267.1000061,732.0999756,630.4000244,183.7500458,1826.5,1359,97.84999847,164.8999939,277.6000061
17-01-2018,34753.80078,424.8500061,925,1691,950,422.8500061,1428.550049,261.7999878,330,295.2000122,557.2999878,105,256.1499939,715.7000122,617,182.9625397,1850,1404,93.75,157,275.1499939
18-01-2018,35366.44922,436.8999939,930,1705,960,422.3500061,1447.5,267.7999878,350,314.1499939,555.1500244,109.4000015,262.5,735,632,177.9750366,1842,1382,94.40000153,167.1999969,277
19-01-2018,35339.10938,417.9500122,922,1660.599976,967.5,419.75,1460,276.2000122,346.6000061,302.75,555,102.25,249.8500061,721.5,598.5,174.3750458,1835.099976,1387.150024,90.65000153,162.25,272.7999878
22-01-2018,35613.96875,435,948.5,1739,980,419,1478,275,353,309.3999939,550,103.1999969,250,735.8499756,617,175.8937988,1845,1405,92.5,165.6000061,275
23-01-2018,35868.19141,438.7000122,975,1710,980,422.1000061,1557.5,273.3500061,352.25,306.25,568,102,251.5500031,745,624.9000244,172.2937927,1830,1418.099976,92,164.8000031,268.8500061
24-01-2018,36161.62109,437.4500122,981.9000244,1695,982.2000122,417.75,1550,277,359.1000061,317.7999878,586.1500244,103.5,259.2999878,746,627,176.8125458,1784.050049,1402.5,92.5,173.8500061,263.5
25-01-2018,36208.39063,449,970,1742,980,402.25,1590,281.5,353.8500061,333,600,102.6999969,258.5,746.5,612.4500122,182.1938019,1752,1397.449951,91,179,260.75
29-01-2018,36106.35938,440,966,1710.400024,987.5,401.1499939,1559.025024,281,360,313.7999878,596.5,101.5500031,253.5,729.9000244,619.0499878,184.8750458,1728,1391.5,90.30000305,170.5,260.5499878
30-01-2018,36277.12109,440,964,1720,1000,399.1000061,1559.5,275.6499939,355.5,311.0499878,603,99.84999847,253.5,715,614.5499878,179.2687988,1732.699951,1385.199951,89.94999695,162,261.1499939
31-01-2018,35951.64063,426.1000061,950,1674,995,396.2000122,1565.5,273.5,349.3999939,313,602.25,100.6999969,251.25,722.7000122,608,178.8750458,1731.5,1362,90.5,159.9499969,261.7000122
01-02-2018,36048.98828,427.1000061,964.4000244,1677,1003.5,401,1560,272,349.7000122,316.0499878,612,101,251,715,606,180.7312927,1710,1346.050049,89.19999695,159,263.1000061
02-02-2018,35707.60156,427.6000061,938.7000122,1718,992.5,391,1557.5,275.75,340,302,608,96.94999695,240.6999969,715,601.2000122,181.8375397,1733,1351.099976,88.59999847,151.25,263.0499878
05-02-2018,34718.85156,409,895.7999878,1608,965,381.6499939,1555.5,272.3999939,329.8999939,292.7000122,614.7999878,92,219,679.9500122,570,173.8125458,1688,1339,83.90000153,150,256
06-02-2018,33753.78125,402,880,1553,936.8499756,368,1515,271.75,318.8500061,286,608,90,216,685,589,168.7500458,1600,1295,83,151.5,256
07-02-2018,34563.30078,412.2000122,900.5499878,1680,952.5,388,1507.5,276.3500061,335,295.6000061,615,95.25,228.8000031,706.5,588.0999756,172.5000458,1619,1209,82.90000153,155,255
08-02-2018,34208.10938,412,896.3499756,1655.699951,940,381,1485.5,276,332.25,293,610,94,225.5,701,614.9000244,174.3750458,1595,1183,84,154,247
09-02-2018,34002.44922,401,891.9500122,1638,927.5,370,1480,271,324,297.9500122,600.0499878,93.80000305,225.1000061,755,600,170.6250458,1667,1220,83.5,153.8999939,256.7999878
12-02-2018,34203.33984,404,901.0999756,1629,930,372,1504,271.3999939,333.8999939,288,595,95.5,229.1999969,767.5,596.0999756,174.6750488,1687,1288.099976,85.75,158.0500031,256.5499878
14-02-2018,34436.98047,400,921.6500244,1645,940.625,373.8999939,1482.5,271,327.3500061,289,590,95.09999847,239,780,592.9000244,176.3062897,1657.449951,1242.5,87.09999847,167,257.1000061
15-02-2018,34207.57031,421,936.0499878,1680,940.6500244,379,1464.5,267,321.1000061,275,615,95,233.1000061,765.0999756,600,175.5562897,1632.949951,1250.800049,88,164,254.6000061
16-02-2018,34411.23828,417,937.3499756,1687.099976,942,377.25,1462.5,270,331,280.0499878,607,94.05000305,232.8999939,755,585.5999756,179.8125458,1630,1240.650024,86.30000305,159,253.5
