Date,^NSEI,ICICIBANK.NS,INFY.NS,AXISBANK.NS,WIPRO.NS,HDFCBANK.NS,BHARTIARTL.NS,CIPLA.NS,TCS.NS,BRITANNIA.NS,NESTLEIND.NS,INDUSTOWER.NS,BANKBARODA.NS,NAUKRI.NS,HAVELLS.NS,GODREJCP.NS,ACC.NS,DMART.NS,GAIL.NS,INDIGO.NS,DLF.NS
01-01-2018,10456,314,518.8499756,563.7999878,233.625061,936.3499756,487.5527039,608,1341.150024,2375,7900,379.8999939,161,1394.699951,566.7000122,671.9666748,1763.949951,1188.300049,125.7000275,1205.949951,259.4500122
02-01-2018,10477.5498,310.9500122,518.625,567,236.887558,929.2750244,489.2972412,614.2000122,1330,2369.125,7855,371,161.8999939,1390,555,660,1736.199951,1173.699951,126.0000305,1209,258.4500122
03-01-2018,10482.65039,312.5,514.25,561.2999878,240.3000641,937.5,476.6723022,611,1316,2329.5,7900,379.7000122,158.6499939,1350,551,652.0666504,1741.099976,1162.699951,124.2000275,1196.050049,254
04-01-2018,10469.40039,314.9500122,510.5,564.8499756,232.575058,926.5,476.5345764,609.4500122,1325,2329.5,7865,381.7999878,158.5,1398,558,660,1779.949951,1187.849976,123.5000305,1209.949951,258.25
05-01-2018,10534.25,314.4500122,507.6499939,561.0499878,234.750061,931.5,482.0436401,617,1325,2331,7846.299805,381.4500122,165.1499939,1386,565,659.9666748,1801.099976,1210.099976,124.7500305,1204,258.3500061
08-01-2018,10591.7002,313.5,512.4500122,565.7999878,232.500061,932.5,490.4449768,618.5,1350,2330,7830,372.6000061,162.1000061,1414.5,566.5,665.2999878,1816,1250,125.0000305,1198.949951,260.7999878
09-01-2018,10645.09961,314.7999878,520,564,234.450058,931,475.616394,617,1357.5,2350,7941.149902,370.1499939,161.75,1394.800049,561.5,664.666687,1823,1232.949951,124.3625336,1225,260.8999939
10-01-2018,10652.0498,312.5499878,523.4000244,566.1500244,237.3000641,932.5999756,472.8618469,616,1355.5,2328.425049,7850,368.5,164.25,1371,551.75,658.666687,1812.050049,1245.050049,125.4875336,1240.550049,270.6000061
11-01-2018,10637.0498,312.5,527.625,562,242.6625671,932.0999756,466.4346008,619,1405,2335,7854.799805,371,162.5,1420,549,656.4666748,1825,1254,124.4250336,1237,269
12-01-2018,10682.5498,309.6000061,542.9000244,560.2000122,240.750061,936.5,473.7800293,614,1402.5,2367.5,7878,364.0499878,163.75,1393.949951,549.5,659.9333496,1805,1250.099976,124.6250305,1231,270.75
15-01-2018,10718.5,320.7999878,540,556.7000122,239.137558,934.9749756,468.0873413,612.5,1388.574951,2354.149902,7815,374.5,163.5,1419.699951,548,660.8666382,1809.900024,1236.900024,125.337532,1240,268.5499878
16-01-2018,10761.5,329.75,540.625,562.9500122,237.6750641,951.7249756,466.4346008,610.1500244,1378,2362,7760,373.4500122,164.6000061,1365,562,671.0999756,1835,1232.800049,122.8250275,1224.300049,268.25
17-01-2018,10702.4502,334.0499878,562.4249878,564.0499878,249.750061,948.5,454.498291,601.0499878,1435,2340,7799.700195,365,156.9499969,1405,555.5,670.4333496,1850,1183,120.5000305,1180,258.7000122
18-01-2018,10873.40039,350,572.5,596,245.250061,962,460.0073547,608.0999756,1448.5,2379.850098,7830,365,169,1402.400024,562.75,668.5333252,1840.5,1175,117.525032,1204.75,263.3999939
19-01-2018,10829.2002,347.4500122,572.5,584.9000244,245.250061,967.5750122,444.3983459,603.6500244,1465.275024,2332.5,7800,346,162,1384.949951,548,691.2000122,1828.25,1138.800049,117.1250305,1190.900024,249
22-01-2018,10883.2002,352.3999939,566.0750122,595.9500122,237.750061,980,455.0491943,604.4000244,1480.5,2337.5,7667.549805,344.5,166,1410,548.5999756,696.666687,1816.5,1149,117.5125275,1210.599976,250.5
23-01-2018,10997.40039,350.4500122,577.5,616.4000244,241.575058,982.5,453.5801086,602.5,1557.474976,2342.5,7699,344.3999939,164.9499969,1406,565,733.333313,1825,1182,115.2000275,1200.900024,250.6000061
24-01-2018,11069.34961,357.75,587.4000244,621.9000244,237.375061,976.2750244,447.0610352,621.9500122,1545,2368.199951,7630,339,173.1499939,1387.349976,584.9000244,723.333313,1787.800049,1170,117.775032,1201,259
25-01-2018,11095.59961,352.5,591,610,236.7750549,976.9500122,425.5756836,618.1500244,1587.5,2359.600098,7553,342.1000061,178.8000031,1398.550049,575,750,1739.900024,1150,121.525032,1279,256.9500122
29-01-2018,11079.34961,360,583.2750244,614.5499878,235.575058,989,407.6712036,624.9500122,1565.699951,2320,7530,343,168.3000031,1390.75,582,713.333313,1735.150024,1200,123.1125336,1235,255.1000061
30-01-2018,11120.84961,356.7999878,589.4500122,605.5999756,232.1625519,998.9000244,404.5493774,613,1590,2334.5,7520,352.2000122,162,1398,575.3499756,708,1728,1180.699951,119.7500305,1201,251.5
31-01-2018,11018.7998,348.8500061,579.5750122,589.2999878,229.575058,994.7000122,406.2939148,608,1568.5,2345,7483.950195,345,159.1999969,1370,540,714.6333618,1728.099976,1180,119.4875259,1213,253.0500031
01-02-2018,11044.5498,347.5499878,571.0999756,593.5999756,228.7875519,1003,404.0444031,591.9000244,1562,2342.125,7499,352,158.0500031,1351,525.7999878,706.666687,1723,1185,119.5000305,1220,251.6999969
02-02-2018,10938.2002,342.5499878,567.625,587.7999878,224.4750519,993,401.9784851,586,1560,2337.75,7300,342,150.1999969,1362,519,699.9333496,1725.900024,1162.800049,120.5000305,1210,240
05-02-2018,10604.2998,327.6000061,570,551.0999756,223.500061,959,383.5690002,576,1555,2349.5,7130,336,150.6000061,1310,509.8999939,694.5333252,1667,1122.050049,115.0000305,1159.300049,218.3999939
06-02-2018,10295.15039,315.25,549.9749756,543,218.7750549,930,385.6349182,561,1505,2250,7000,339.3999939,150,1240,474.9500122,673.333313,1595,1075,112.0000305,1155,212.0500031
07-02-2018,10607.2002,335.3500061,558,568,223.6500549,953.5,408.543457,578.5,1513.5,2307.449951,7097.950195,348.0499878,156,1212,511,679.9333496,1627,1127.800049,114.1500244,1214.449951,229
08-02-2018,10518.5,332.5499878,561.4000244,562.7999878,217.575058,942,398.4894104,584,1489.875,2274.925049,7014,341,154,1198,510.5499878,681.7000122,1589.849976,1129,116.2000275,1225,225.8999939
09-02-2018,10416.5,325,559,559.9000244,216.750061,923.9500122,389.3076172,595,1475,2263.024902,6973,342.8999939,153.25,1230,503.1000061,666.666687,1652,1149.949951,114.3000259,1242,222
12-02-2018,10518.2002,328.8500061,557.4000244,563.7000122,215.9250488,930,394.6330566,629.3499756,1489.150024,2335,6998,345.3999939,159,1280.050049,519.2000122,680,1678,1189,117.0000305,1238.150024,231.8999939
14-02-2018,10585.75,327,553,565,217.500061,944.9000244,391.4194336,622.0999756,1485,2432.5,7200,339.5499878,167,1259,516.5,689.2000122,1652,1196.599976,118.4500275,1242,239.6999969
15-02-2018,10537.90039,322.1499939,551.5,534.75,221.700058,944.8499756,403.3557434,613.25,1465.974976,2393.899902,7500,329.1000061,163.8999939,1249.900024,515.0999756,689.3666382,1626.550049,1206.949951,117.6250305,1280,233
16-02-2018,10596.2002,330.3500061,562.5,547.0499878,219.7125549,941.9500122,399.3616943,611.2999878,1461.5,2400.5,7650,334.3999939,159.3999939,1249.849976,519.7999878,682,1634,1188.800049,119.5750275,1261.5,232.6499939
19-02-2018,10488.90039,329.5,564.2000122,537.8499756,219.750061,941.2999878,385.4971924,612,1472.5,2390.75,7630,330.8500061,150,1220,508.9500122,689.7333374,1655.849976,1179,117.5000305,1278,224.8999939
20-02-2018,10391,320.5,551.875,542,217.500061,942.375,381.1358337,603.4500122,1464,2364,7520,332,140.5,1207.949951,508.8500061,697.333313,1644,1174.800049,115.9500275,1294,223.6499939
21-02-2018,10426,319,573.75,534,220.500061,933.9749756,385.6349182,607,1487,2387.5,7579,334.8999939,146.75,1212.25,510.8500061,706.5999756,1656.550049,1191.800049,116.7500305,1274,226.5
22-02-2018,10354.34961,317,572.7750244,533,219.6750488,925,384.5331116,595,1526,2387,7599,335,144.0500031,1183.949951,505,704.7999878,1635,1244.699951,116.3750305,1260,219.3500061
23-02-2018,10408.09961,319.0499878,581.75,527,221.625061,928.4500122,384.7167358,591.7999878,1525,2450,7573,332.1000061,145.6999969,1159.800049,497,700,1630,1250,116.350029,1275.050049,220.1999969
26-02-2018,10526.5498,325,575.5,541.0999756,221.1000519,944.0499878,394.8167114,596.25,1537.5,2482.800049,7615,344.75,148,1205,509,701.333313,1659.800049,1312,115.0000305,1298,227.3000031
27-02-2018,10615.2002,327,572.4749756,551.5999756,219.3375549,957.375,390.9603577,591.7000122,1520.5,2487.5,7644,346.8999939,143.3999939,1241,514.5,714.4000244,1655,1291.199951,116.100029,1346.949951,228.8999939
28-02-2018,10488.9502,315.1499939,573.7999878,534,219.750061,944.7750244,394.8167114,590,1517.5,2465,7759,340,139,1256,506.6000061,725.3666382,1618,1354,113.9500275,1323,220.8000031
01-03-2018,10479.9502,312.6499939,584.7999878,524,219.6000519,939.6500244,393.9444275,593.9000244,1524.5,2492.5,7777,348,141.8000031,1274,507.6499939,713.6333618,1624.900024,1353.099976,114.5000305,1339,225.5500031
05-03-2018,10428.2998,304.4500122,580.375,524,220.200058,937.0750122,392.0162659,582.0999756,1524.5,2456,7880,342.5,137,1287,511,719.7999878,1626.400024,1309.5,113.0000305,1340,221.3000031
06-03-2018,10420.5,307.3999939,581.2750244,526,218.437561,935,389.0321655,581.5999756,1561,2447.5,7763.399902,339.7999878,140.8999939,1258,511.7999878,725.333313,1614.699951,1320,111.1125259,1316,224.3999939
07-03-2018,10232.9502,293.2999878,577.5,510.8999939,216.3375549,920,377.0499573,587.4500122,1535,2412.5,7709.899902,331,133.1000061,1238,501.7000122,729.2999878,1590.150024,1325,109.9875259,1278,215
08-03-2018,10216.25,290.25,574.5,518.4500122,214.8375549,919.9000244,377.8304138,584,1527.449951,2452.75,7788,331,134.5,1217,504.1000061,733.2999878,1577,1313.150024,111.2500305,1275.099976,216.5500031
09-03-2018,10271.2998,299,581.1749878,522.4500122,213.7500458,927.4749756,371.7704163,579.9500122,1502.5,2434.5,7767.5,332,135.6000061,1219,505,706.5999756,1554,1300,109.5000305,1286,220.3000031
12-03-2018,10301.59961,295.6000061,588,510.6000061,214.7250519,930.0999756,371.8622437,575.0499878,1521.5,2437.5,7694.799805,335.5,132,1270.050049,508,720,1536.699951,1316.099976,109.6750259,1291.099976,215
13-03-2018,10389.5,300.1000061,590.0999756,517.0999756,219.375061,933.7249756,388.3894348,579,1462.449951,2430.274902,7619,336,132.1499939,1234.75,503.25,723.1333618,1575.150024,1312.5,112.5000305,1251.099976,216.6000061
14-03-2018,10393.0498,303.1499939,590,528.9500122,221.250061,928,391.0521545,578.3499756,1446.474976,2425.125,7701,345.8999939,139.1499939,1245,516.5,729.666687,1567.650024,1336,114.0000305,1297,219
15-03-2018,10405.4502,305.75,590,535.2000122,221.5875549,932.5999756,388.0221863,578,1447.5,2421.5,7729,340,144.3500061,1279,521,720.0666504,1616.75,1341,113.8125305,1261.199951,220
16-03-2018,10345.15039,301.25,591,530.9000244,221.250061,940,381.2735596,570.0999756,1434.400024,2434.975098,7750,339,143.6999969,1262,522.9000244,716,1599.900024,1359.800049,112.2750244,1265,225.5
19-03-2018,10215.34961,298.1000061,582,522.5999756,220.1625519,926.5,383.7985535,563.6500244,1414.5,2431,7722.549805,334.9500122,143.8999939,1290,517.5,707.166687,1571.5,1368,111.725029,1251,226
20-03-2018,10051.5498,293,574.2999878,509,215.1750488,922.5499878,366.3531799,555.0999756,1410,2410,7699.899902,325,132,1269,502,698.2000122,1557.650024,1330,110.8750305,1191.099976,212.1000061
21-03-2018,10181.9502,295,585,523,220.875061,924,370.0258789,558.5,1436.25,2410,7889,345.7999878,137.4499969,1276,502,715.2000122,1556.5,1350,110.2500305,1241.5,217.3999939
22-03-2018,10167.5,289.5,582.25,522.5999756,220.3500519,929.4500122,380.1258545,551.9000244,1429.974976,2427.5,7848,337.3999939,135.25,1280,499.3999939,716,1558,1340,109.537529,1258,216.1000061
23-03-2018,9968.799805,277.1000061,573.5,509.5,213.0375519,923.3250122,378.8862915,539,1401,2405.5,7800,330,130.8999939,1240,489.8999939,711.7333374,1530.349976,1297.699951,108.7500305,1241,207
26-03-2018,9989.150391,276.1000061,583.4500122,499,213.450058,919.9500122,378.2894897,538.1500244,1409.5,2420.024902,7827,340,133.5,1233,493,730.5999756,1530,1288,110.0000305,1242.25,202.1999969
27-03-2018,10188,284.5,580,512.2999878,209.2125549,946.9000244,387.471283,541,1412.5,2437.5,7899.950195,346.7000122,146,1205,494.1000061,741.2333374,1541.25,1351.949951,106.6666641,1300,210.8000031
28-03-2018,10143.59961,283,575.375,512.9000244,205.5000458,941.4749756,377.3713074,544,1417.949951,2482.399902,8155,337.5,142.5,1190,492.1499939,718.7999878,1512,1345,106.9833298,1292,205.6999969
02-04-2018,10151.65039,273,570.5,506.75,212.6250458,945.25,366.8122559,548,1420,2499,8199.849609,336,142.6000061,1175.349976,489.0499878,736.5,1509.400024,1328.800049,110.3333359,1282,203.6999969
03-04-2018,10186.84961,261.3999939,567.3499756,494,215.4750519,961.9749756,359.2372742,572,1446.050049,2559,8299.900391,336.5,144.1499939,1224.900024,506.8500061,743.333313,1534,1336.699951,108.5666656,1322.300049,200
04-04-2018,10274.59961,267.25,572,504.5,213.7500458,956.4749756,370.9440613,572.3499756,1464.724976,2528.5,8322,337,145.8500061,1238,509.8999939,737.333313,1554,1369.300049,109.6666641,1371.300049,204.6000061
05-04-2018,10228.4502,267.7999878,569.7750244,498.3999939,212.2500458,950.6500244,365.5267944,574,1463.275024,2512.5,8388.650391,337.5499878,143,1230,510,733.2999878,1551.400024,1377.800049,110.3333359,1402,202.8999939
06-04-2018,10322.75,278.3999939,571.5,502.9500122,214.5000458,956.0999756,361.9459229,560.2999878,1477,2544.975098,8384.25,338,148.1499939,1210,515,726.666687,1558,1400,110.5333328,1446.699951,205.8000031
09-04-2018,10333.7002,277.75,562.5,502.2000122,213.5250549,959.4000244,351.5704956,565.9000244,1469.849976,2591,8350,338,151.3999939,1203,533.0999756,726.5999756,1552.900024,1412,111.3666687,1450,203.75
10-04-2018,10412.90039,279.4500122,556,523,210.450058,971.5,349.8718567,558,1462.849976,2582,8399.75,339,153.8999939,1214.400024,537,722.6333618,1555.900024,1445.5,111.4000015,1492.050049,207.25
11-04-2018,10428.15039,287.75,559,550.0999756,216.000061,957.9500122,356.2532043,560.7000122,1475.300049,2569.949951,8499.599609,336.0499878,152.75,1219,535.5,722.666687,1531.900024,1500,110.7166672,1475,213
12-04-2018,10410.65039,285.2999878,564.7249756,537.2999878,214.7250519,958,352.5805054,562.9000244,1505,2566.5,8446,339.2000122,150.1999969,1227.050049,530,719.7666626,1526.099976,1470.099976,108.5,1470,213.5
13-04-2018,10495.2998,288,587,550,217.125061,964,351.616394,557.5499878,1575,2610,8650.049805,341,149,1246.949951,551.7999878,724,1528,1471.150024,109.4666672,1493,209.8500061
16-04-2018,10398.2998,285,551,541.5,216.750061,960,346.1532593,553.0499878,1558,2606.449951,8704.5,334.5,149,1238.650024,543.4500122,708.666687,1531.699951,1461.050049,108.6666641,1471.099976,207.9499969
