Symbol,Date,Expiry,Strike Price,Close_CE,Close_PE
INFY,20-12-2022,29-12-2022,1060,357.95,3.3
INFY,20-12-2022,29-12-2022,1940,0.25,515.45
INFY,20-12-2022,29-12-2022,1000,415.05,1.3
INFY,20-12-2022,29-12-2022,1100,320.95,5.7
INFY,20-12-2022,29-12-2022,1080,339.3,1.4
INFY,20-12-2022,29-12-2022,1040,532,0.8
INFY,20-12-2022,29-12-2022,1160,267.85,11.7
INFY,20-12-2022,29-12-2022,1140,285.15,0.45
INFY,20-12-2022,29-12-2022,1120,302.9,7.35
INFY,20-12-2022,29-12-2022,1220,218.55,21.55
INFY,20-12-2022,29-12-2022,1200,410,0.45
INFY,20-12-2022,29-12-2022,1180,250.9,0.25
INFY,20-12-2022,29-12-2022,1260,188.45,10
INFY,20-12-2022,29-12-2022,1240,203.2,2.85
INFY,20-12-2022,29-12-2022,1360,123.9,0.35
INFY,20-12-2022,29-12-2022,1320,147.7,0.35
INFY,20-12-2022,29-12-2022,1340,135.5,0.3
INFY,20-12-2022,29-12-2022,1300,273.3,0.35
INFY,20-12-2022,29-12-2022,1280,174.2,0.1
INFY,20-12-2022,29-12-2022,1380,240,0.6
INFY,20-12-2022,29-12-2022,1400,112,1
INFY,20-12-2022,29-12-2022,1480,41.75,9.5
INFY,20-12-2022,29-12-2022,1440,74.55,3.3
INFY,20-12-2022,29-12-2022,1420,92,1.8
INFY,20-12-2022,29-12-2022,1520,17.5,24.9
INFY,20-12-2022,29-12-2022,1500,28.3,15.8
INFY,20-12-2022,29-12-2022,1460,57.85,5.55
INFY,20-12-2022,29-12-2022,1580,3.85,70.75
INFY,20-12-2022,29-12-2022,1560,6.05,54.1
INFY,20-12-2022,29-12-2022,1540,10.15,37.8
INFY,20-12-2022,29-12-2022,1640,1.6,127.75
INFY,20-12-2022,29-12-2022,1620,2.15,108
INFY,20-12-2022,29-12-2022,1600,2.95,90.1
INFY,20-12-2022,29-12-2022,1680,1.1,165.4
INFY,20-12-2022,29-12-2022,1700,1,187.3
INFY,20-12-2022,29-12-2022,1660,1.2,150
INFY,20-12-2022,29-12-2022,1780,0.6,365.3
INFY,20-12-2022,29-12-2022,1740,0.7,251.85
INFY,20-12-2022,29-12-2022,1720,0.85,230
INFY,20-12-2022,29-12-2022,1840,0.45,420.65
INFY,20-12-2022,29-12-2022,1820,0.4,402.05
INFY,20-12-2022,29-12-2022,1800,0.55,286.45
INFY,20-12-2022,29-12-2022,1760,0.65,247.05
INFY,20-12-2022,29-12-2022,1880,0.15,458.25
INFY,20-12-2022,29-12-2022,1860,0.4,439.4
INFY,20-12-2022,29-12-2022,1920,0.15,496.3
INFY,20-12-2022,29-12-2022,1900,0.15,265.25
INFY,20-12-2022,29-12-2022,1980,0.3,316.1
INFY,20-12-2022,29-12-2022,1960,0.3,315
INFY,20-12-2022,29-12-2022,1020,553,0.6
INFY,20-12-2022,25-01-2023,1280,278.35,14
INFY,20-12-2022,25-01-2023,1240,312.9,9.2
INFY,20-12-2022,25-01-2023,1380,199.8,33.85
INFY,20-12-2022,25-01-2023,1340,229.65,5.8
INFY,20-12-2022,25-01-2023,1300,261.65,3.1
INFY,20-12-2022,25-01-2023,1440,159.15,18.35
INFY,20-12-2022,25-01-2023,1400,128.8,10.55
INFY,20-12-2022,25-01-2023,1360,214.45,5.9
INFY,20-12-2022,25-01-2023,1480,69.1,30.9
INFY,20-12-2022,25-01-2023,1420,172.05,13.5
INFY,20-12-2022,25-01-2023,1540,39.55,59.5
INFY,20-12-2022,25-01-2023,1500,59.2,38.75
INFY,20-12-2022,25-01-2023,1460,70.05,24.1
INFY,20-12-2022,25-01-2023,1600,20.2,99.7
INFY,20-12-2022,25-01-2023,1560,31.85,71
INFY,20-12-2022,25-01-2023,1520,48.7,48.8
INFY,20-12-2022,25-01-2023,1660,10.25,170.05
INFY,20-12-2022,25-01-2023,1620,16.1,125
INFY,20-12-2022,25-01-2023,1580,25.15,82.4
INFY,20-12-2022,25-01-2023,1680,8.35,139.15
INFY,20-12-2022,25-01-2023,1700,6.65,183.5
INFY,20-12-2022,25-01-2023,1640,12.8,154.05
INFY,20-12-2022,25-01-2023,1720,5,161.7
INFY,20-12-2022,25-01-2023,1740,4.35,220
INFY,20-12-2022,25-01-2023,1840,20.85,307.6
INFY,20-12-2022,25-01-2023,1780,3.4,257.5
INFY,20-12-2022,25-01-2023,1800,2.8,280
INFY,20-12-2022,25-01-2023,1760,3.95,241.5
INFY,20-12-2022,25-01-2023,1880,16.25,342.35
INFY,20-12-2022,25-01-2023,1860,18.4,324.85
INFY,20-12-2022,25-01-2023,1820,23.5,290.6
INFY,20-12-2022,25-01-2023,1960,9.7,414.55
INFY,20-12-2022,25-01-2023,1900,1.65,360.1
INFY,20-12-2022,25-01-2023,1920,5.65,378.05
INFY,20-12-2022,25-01-2023,1980,1,433
INFY,20-12-2022,25-01-2023,1940,11.05,396.2
